user_name,score,date,text,gemma2_sentiment,gemma2_confidence,error_sentiment,classic_sentiment,positive,neutral,negative,time,class_sentiment,class_group,combined_weight_sentiment,combined_abs_sentiment,error_sentiment_value,llama3_sentiment,llama3_confidence,mistral-nemo_sentiment,mistral-nemo_confidence,qwen2_sentiment,qwen2_confidence,qwen2.5-7b_sentiment,qwen2.5-7b_confidence
Marlon Bruno,1,20/06/2024,"O aplicativo não roda no meu telefone, fica carregando o tempo todo e não vai, tô tendo que vender com a maquininha da concorrência, no antigo celular funcionava, agora que troquei, não consigo mais acessar o aplicativo.",-0.7,0.8,0,-0.6808,0.0,0.815,0.185,1.773,detractor,maquininha,-0.7,-0.7,,-0.8,0.9,-0.8,0.9,0.1,0.8,-0.7,0.8
Ivanice Mendes,5,20/06/2024,a maquininha da Tom é tudo que eu precisava os negócios melhorou,0.8,0.7,0,0.0,0.0,1.0,0.0,1.759,promoter,maquininha,0.76,0.72,,0.5,0.8,0.7,1.0,0.8,0.9,0.8,0.9
LAECIO FERREIRA FEITOZA,5,20/06/2024,eu sugiro uma máquina desta ela é muito boa,0.8,0.7,0,0.4404,0.293,0.707,0.0,2.373,promoter,maquininha,0.73,0.78,,0.7,0.8,0.4,0.8,1.0,0.8,0.8,0.9
Josiel Gonçalves Rodrigues,5,20/06/2024,é top 100%,0.8,0.9,0,0.0,0.0,1.0,0.0,2.359,promoter,outros,0.76,0.72,,0.8,0.7,0.8,0.8,0.9,0.8,0.8,0.9
Murilllo Amaral,5,20/06/2024,esse app é muito bom e eu sou menor de idade e tô adorando ele eu super recomendo pra quem é menor de idade que sempre quis ter uma conta digital tipo eu sempre quis ter uma conta digital e conseguir graças ao ton obrigado por essa experiência Ton!,0.8,0.9,0,0.908,0.299,0.612,0.088,1.8,promoter,conta,0.82,0.8,,0.9,0.8,0.6,0.9,0.9,1.0,0.9,0.8
Ronny Viana (GamerNauta'S),5,20/06/2024,a melhor maquininha do Brasil,0.8,0.9,0,0.4404,0.492,0.508,0.0,1.717,promoter,maquininha,0.73,0.78,,0.8,0.9,0.6,1.0,1.0,1.0,0.8,0.9
Yandra682silva,5,20/06/2024,ótimo,1.0,0.9,0,0.3612,1.0,0.0,0.0,1.833,promoter,outros,0.87,0.96,,0.8,0.9,0.7,1.0,0.8,1.0,0.8,0.9
Waltinho Valela,5,19/06/2024,mto bom,0.8,0.9,0,0.4215,0.737,0.263,0.0,1.626,promoter,outros,0.72,0.78,,0.7,0.8,0.8,1.0,0.8,0.9,0.8,0.9
Maciel Santos,1,19/06/2024,"O aplicativo está tão lento que nem mesmo consigo acessar em certos momentos ,estou passando as vendas em outra maquininha pois nem mesmo consigo calcular as taxas no aplicativo pois tá lento demais",-0.7,0.8,0,0.0,0.0,1.0,0.0,2.838,detractor,"lentidao, maquininha, taxas, venda",-0.66,-0.63,,0.3,0.9,-0.9,0.8,-0.9,0.8,-0.8,0.7
Thiago Da Conceição,4,19/06/2024,amei 😍,1.0,1.0,0,0.0,0.0,1.0,0.0,2.475,promoter,outros,0.95,0.9,,0.8,1.0,0.8,1.0,1.0,1.0,1.0,0.9
Vanessa Souza,1,19/06/2024,Aplicativo da erro não entra muito ruin,-0.6,0.7,0,-0.5859,0.0,0.51,0.49,2.314,detractor,outros,-0.6,-0.6,,0.6,0.8,-1.0,0.8,-0.7,0.8,-0.8,0.7
REINAN Bentes,5,19/06/2024,Verdadeiro msm,0.8,0.6,0,0.0,0.0,1.0,0.0,1.443,neutral,outros,0.76,0.72,,0.8,1.0,-0.7,1.0,0.5,1.0,0.5,0.7
Fabiana Gomes Silva,5,19/06/2024,"Não estou conseguindo abrir o APP, está dando conta inativa o que faço para resolver",-0.6,0.8,0,0.1027,0.247,0.529,0.224,2.212,detractor,conta,-0.46,-0.54,,0.3,0.9,0.1,0.9,-0.5,0.8,-0.3,0.7
Rui Pinto,3,19/06/2024,"O app detecta que meu aparelho (TCL) é compatível para vender por aproximação, mas quando em vender pela tap Ton, o aplicativo fecha.",-0.4,0.7,0,-0.0772,0.0,0.936,0.064,2.25,detractor,maquininha,-0.34,-0.37,,-0.2,0.8,-0.6,0.8,0.2,0.8,-0.2,0.8
Tity Luciana,5,19/06/2024,muito bom,0.8,0.9,0,0.4215,0.737,0.263,0.0,2.422,promoter,outros,0.72,0.78,,0.8,1.0,0.7,1.0,0.8,1.0,0.8,0.9
Edimilson Edmilson,5,19/06/2024,Maquininha Ton São muito boa não deixa você na mão ainda cobra a menor taxa do mercado,0.8,0.9,0,0.0516,0.229,0.55,0.22,2.361,promoter,maquininha,0.65,0.73,,0.9,0.8,0.6,1.0,0.9,1.0,0.8,0.9
Erick Charles,5,19/06/2024,Recomendo muito parabéns pelo atendimento,0.8,0.9,0,0.7506,0.681,0.319,0.0,2.38,promoter,atendimento,0.79,0.8,,0.8,0.9,0.8,1.0,0.8,0.9,0.8,0.9
Wendell Fernandes,5,19/06/2024,top,0.6,0.8,0,0.0,0.0,1.0,0.0,1.42,neutral,outros,0.57,0.54,,0.5,0.7,0.8,1.0,0.1,0.8,1.0,1.0
Maria Jose,4,19/06/2024,.n.k m 77 . V.mmim,0.1,0.3,0,0.0,0.0,1.0,0.0,1.449,neutral,outros,0.1,0.09,,,,,,,,0.5,0.3
RegiAvante Pereira,3,19/06/2024,aplicativo muito lento,-0.6,0.7,0,0.0,0.0,1.0,0.0,2.309,detractor,lentidao,-0.57,-0.54,,-0.6,0.8,-0.7,1.0,-1.0,1.0,-0.7,0.8
Ana Paula,5,19/06/2024,Maravilhosa essa maquininha e top,0.8,0.9,0,0.5994,0.565,0.435,0.0,1.678,promoter,maquininha,0.76,0.79,,0.8,0.9,0.7,1.0,0.8,1.0,0.8,0.9
Gilmar Agostinho,5,19/06/2024,enviei para mais de 300 contatos comerciais!,0.6,0.7,0,-0.2244,0.0,0.76,0.24,2.14,promoter,outros,0.44,0.54,,0.8,0.6,0.5,1.0,0.5,1.0,0.6,0.8
Shayany Da silva,4,19/06/2024,ótimo,1.0,0.9,0,0.3612,1.0,0.0,0.0,2.134,promoter,outros,0.87,0.96,,0.8,0.9,0.8,1.0,1.0,1.0,0.8,0.9
Ademar Santos,5,19/06/2024,"muito boa, recomendo muito",0.8,0.9,0,0.6597,0.73,0.27,0.0,2.159,promoter,outros,0.77,0.8,,0.8,1.0,0.8,1.0,1.0,1.0,0.8,0.9
Eduardo Brito Melo,5,19/06/2024,excelente máquina!,0.8,0.9,0,0.6588,0.815,0.185,0.0,1.945,promoter,maquininha,0.77,0.8,,0.8,0.9,0.7,1.0,1.0,1.0,0.8,0.9
Rômulo Quaresma,1,19/06/2024,"Não tem opção pix, muito ruim o app",-0.7,0.8,0,-0.7003,0.0,0.463,0.537,2.405,detractor,pix,-0.7,-0.7,,0.4,0.8,-0.7,0.8,-1.0,0.8,-0.8,0.7
Adriano sillv Motao,5,19/06/2024,sinal ótimo em todo lugar da cidade de Manaus aprovada,0.8,0.9,0,0.3612,0.217,0.783,0.0,1.978,promoter,outros,0.71,0.77,,0.8,1.0,0.5,1.0,1.0,1.0,0.8,0.9
Katlleyarmallu Mallu,5,19/06/2024,Eselente,1.0,0.9,0,0.0,0.0,1.0,0.0,2.243,promoter,outros,0.95,0.9,,0.8,0.7,0.8,0.5,0.8,1.0,0.8,0.7
Rodrigo De Jesus,5,19/06/2024,top,0.6,0.7,0,0.0,0.0,1.0,0.0,2.489,neutral,outros,0.57,0.54,,0.5,0.8,,,-1.0,0.5,0.8,0.9
Ualasse Leal,5,19/06/2024,ótimo custo benefício gostei muito,0.8,0.9,0,0.6486,0.639,0.361,0.0,2.364,promoter,outros,0.77,0.79,,0.7,0.9,0.8,1.0,0.8,0.9,0.8,0.9
Ana Livia Bonfim,5,19/06/2024,adoro o app e a maquina,0.8,0.9,0,0.0,0.0,1.0,0.0,2.441,promoter,maquininha,0.76,0.72,,0.8,1.0,0.8,1.0,1.0,0.8,0.8,0.9
Ronildo Silva Pereira,5,19/06/2024,ótimo,1.0,1.0,0,0.3612,1.0,0.0,0.0,2.143,promoter,outros,0.87,0.96,,0.8,1.0,0.7,1.0,0.8,1.0,0.8,0.9
ruan Luiz,5,19/06/2024,top,0.8,0.7,0,0.0,0.0,1.0,0.0,2.062,neutral,outros,0.76,0.72,,0.5,0.8,0.7,0.8,,,1.0,1.0
Daniel Santos,5,19/06/2024,"muito bom as máquininhas da ton.Super recomendado.Sem falar que se caso derem algum problema,é só pedir outra.Bom demais,e com as menores taxas do mercado.",0.8,0.9,0,0.4215,0.109,0.891,0.0,2.26,promoter,maquininha,0.72,0.78,,0.8,0.9,0.8,1.0,0.9,1.0,0.8,0.9
Maria Sirleny,5,19/06/2024,"Sirleny, ainda sou nova neste APP minha maquininha chegou hoje vou começar a usa-lo logo.",0.6,0.7,0,0.0,0.0,1.0,0.0,2.34,promoter,maquininha,0.57,0.54,,0.6,0.8,0.5,1.0,0.6,1.0,0.5,0.8
Marciel Silva,5,19/06/2024,Tap tom não está funcionando mas e o app está lento fica difícil né trabalha com o app assim,-0.6,0.7,0,-0.296,0.0,0.814,0.186,1.561,detractor,lentidao,-0.54,-0.58,,0.7,0.8,-0.4,0.8,-0.5,0.6,-0.3,0.7
rose brito,5,19/06/2024,ótimo,1.0,0.9,0,0.3612,1.0,0.0,0.0,1.41,promoter,outros,0.87,0.96,,0.8,0.9,0.8,1.0,0.8,1.0,0.8,0.9
Antônio Ferreira Ferreira,5,19/06/2024,Bom,0.8,0.9,0,0.4215,1.0,0.0,0.0,1.853,promoter,outros,0.72,0.78,,0.5,0.8,0.8,1.0,0.5,1.0,0.5,0.8
PONTO DAS VÍSCERAS,5,19/06/2024,"Tá uma maravilha essa máquina da Ton,sem taxa e bom para o meu empreendimento.",0.8,0.9,0,0.6124,0.346,0.556,0.099,2.314,promoter,maquininha,0.76,0.79,,0.8,1.0,0.8,1.0,0.9,0.8,0.8,0.9
Andre MUDIN BJJ Duarte,2,19/06/2024,"As taxas são boas poderia ser melhor, o link de pagamento não cai no mesmo dia isso atrapalha muito e pior ainda caso precise estornar o link demora até duas faturas para voltar o dinheiro para o cliente (vc perde o cliente). Suporte técnico horrível é quase somente atendente virtual é uma novela para conseguir atendimento físico, caiu muito mesmo a parceria com a Ton está é a atrapalhando as vendas assim.",-0.7,0.8,0,-0.9545,0.038,0.643,0.319,2.206,detractor,venda,-0.75,-0.7,,-0.8,0.9,-0.7,0.9,-0.8,0.7,-0.7,0.8
Fernando Minalli,1,19/06/2024,"O app é mto lagado, trava demais!",-0.7,0.8,0,0.0,0.0,1.0,0.0,2.361,detractor,lentidao,-0.66,-0.63,,0.7,0.8,-0.8,0.9,-1.0,0.4,-0.8,0.7
Farias Guincho,2,19/06/2024,App trava no meu S24,-0.6,0.7,0,0.0,0.0,1.0,0.0,1.882,detractor,outros,-0.57,-0.54,,0.6,0.8,0.0,1.0,0.1,0.8,-0.8,0.7
Cosma Silvah,5,19/06/2024,O hino comentários não tô conseguindo fazer,-0.6,0.7,0,-0.296,0.0,0.694,0.306,2.052,detractor,outros,-0.54,-0.58,,-0.8,0.7,0.5,1.0,0.1,0.8,-0.8,0.7
BRUNO JAQUEIRA,5,19/06/2024,Normal,0.0,0.5,0,0.0,0.0,1.0,0.0,3.384,neutral,outros,0.0,0.0,,0.5,1.0,0.5,1.0,0.0,1.0,0.5,0.8
lucas xupim,1,19/06/2024,"Poderiam melhorar a leitura de código de barras de boletos, não consigo fazer nenhum pagamento por código de barras sempre tenho que digitar o código do boleto 😒",-0.4,0.8,0,-0.3182,0.096,0.664,0.239,1.722,detractor,cartao credito,-0.38,-0.39,,0.4,0.8,-0.5,0.8,-0.7,0.8,-0.8,0.7
Hilton Dos Santos,5,19/06/2024,ótimo,1.0,0.9,0,0.3612,1.0,0.0,0.0,2.341,promoter,outros,0.87,0.96,,0.5,0.8,0.8,1.0,0.5,1.0,0.8,0.9
Marcos Gomes,5,19/06/2024,muito bom,0.8,0.9,0,0.4215,0.737,0.263,0.0,1.982,promoter,outros,0.72,0.78,,0.8,1.0,0.8,1.0,0.7,1.0,0.8,0.9
Raniere Oliveira,5,19/06/2024,Ótimo aplicativo!,1.0,0.9,0,0.4199,0.736,0.264,0.0,2.184,promoter,outros,0.88,0.97,,0.8,0.9,0.8,1.0,0.9,1.0,0.8,0.9
Sandy Ellen da Costa picalho,5,19/06/2024,Bom,0.8,0.9,0,0.4215,1.0,0.0,0.0,2.256,promoter,outros,0.72,0.78,,0.8,0.9,0.8,1.0,0.5,1.0,0.5,0.8
Decio Da Cruz,4,19/06/2024,otima,1.0,0.9,0,0.0,0.0,1.0,0.0,1.508,promoter,outros,0.95,0.9,,0.8,1.0,0.7,1.0,0.8,1.0,0.8,0.9
Mary Jane Oliveira,5,19/06/2024,Tudo sem burocracia,0.6,0.7,0,0.0,0.0,1.0,0.0,2.328,promoter,outros,0.57,0.54,,0.7,0.8,0.5,1.0,0.5,1.0,0.8,0.7
Lued Fsdre,5,18/06/2024,Por que a gente conversa está pronto para resolver obrigado,0.6,0.7,0,0.6808,0.522,0.362,0.116,2.529,promoter,atendimento,0.62,0.6,,0.8,1.0,0.4,1.0,0.7,0.8,0.8,0.7
Jamessom Lira,5,18/06/2024,Ótima,1.0,1.0,0,0.0,0.0,1.0,0.0,2.192,promoter,outros,0.95,0.9,,0.8,1.0,0.8,1.0,0.8,1.0,0.8,0.9
Cícero tour! Turismo. (Cícero tour),5,18/06/2024,Muito boa!!!,0.8,0.9,0,0.5826,0.791,0.209,0.0,2.295,promoter,outros,0.76,0.79,,0.8,0.9,0.8,1.0,1.0,1.0,0.8,0.9
Rosa Faria,4,18/06/2024,Tá travando muito aplicativo demora pra entras nas configurações como venda estrato Etc...,-0.6,0.7,0,-0.3182,0.0,0.839,0.161,2.284,detractor,lentidao,-0.54,-0.58,,0.7,0.9,-0.7,0.8,0.1,0.8,-0.7,0.8
Agenaldo Nogueira,5,18/06/2024,"Boa noite, alguém sabe dizer porque o app de vendas tá dando erro, não estou conseguindo fazer vendas",-0.6,0.7,0,0.128,0.229,0.563,0.208,2.021,detractor,venda,-0.45,-0.54,,0.3,0.7,0.0,0.8,0.2,0.7,-0.3,0.7
Emerson Costa,1,18/06/2024,"O app diz ""não encontrar a chave pix"" mesmo verificando os dígitos que estão sendo digitados em ordem correta, verifiquem isso com urgência.",-0.6,0.7,0,-0.296,0.0,0.901,0.099,3.143,detractor,pix,-0.54,-0.58,,0.8,0.9,-0.8,0.9,0.1,0.5,-0.8,0.7
Claudelania Martins,5,18/06/2024,muito bom estou amando,0.8,0.9,0,0.4215,0.483,0.517,0.0,2.265,promoter,outros,0.72,0.78,,0.8,0.9,0.7,1.0,0.8,0.9,0.8,0.9
Ana Tereza Fernandes,5,18/06/2024,bom,0.8,0.9,0,0.4215,1.0,0.0,0.0,1.51,promoter,outros,0.72,0.78,,0.7,1.0,0.8,0.9,0.5,1.0,0.5,0.8
Ivanete Dutra Frazão Dutra Frazão,5,18/06/2024,"ainda estou testando, mais estou amando essa experiência com Ton maravilhosa 💜💛💚 parabéns",0.8,0.9,0,0.8316,0.438,0.562,0.0,2.088,promoter,outros,0.81,0.8,,0.8,0.9,0.8,0.9,0.8,1.0,0.9,0.8
cabral Oliveira,5,18/06/2024,"Ótimo app . Só podia melhorar a questão do pagamento pelo Pix,ao fazer o pagamento em qualquer comércio além de colocar a senha,enviam um código para o email vc tem que digitar o código para efetuar o pagamento,gera tempo ....",0.6,0.7,0,0.34,0.141,0.703,0.156,2.144,promoter,pix,0.55,0.58,,0.6,0.8,0.6,1.0,0.6,0.8,0.7,0.8
Lobby,1,18/06/2024,"App trava e não consigo mexer na OneUI 6.1, precisam atualizar e melhorar a compatibilidade o mais rápido possível!",-0.7,0.8,0,0.6239,0.356,0.537,0.107,2.172,detractor,outros,-0.44,-0.65,,0.7,0.9,0.2,0.8,-0.8,0.7,-0.8,0.7
Roberto Lobato,5,18/06/2024,muito boa,0.8,0.9,0,0.4404,0.744,0.256,0.0,2.395,promoter,outros,0.73,0.78,,0.8,1.0,0.5,1.0,0.8,0.9,0.8,0.9
Rosineu Uchoa,5,18/06/2024,Excelente.,1.0,0.9,0,0.6249,1.0,0.0,0.0,1.975,promoter,outros,0.92,0.99,,0.8,0.9,,,0.9,1.0,0.8,0.9
vanessa Ventcar,5,18/06/2024,"Estou amando a maquininha o retorno é ótimo , o aplicativo só é meio lento para abrir mais e tudo muito explicado certinho vale a pena..",0.8,0.9,0,0.2263,0.124,0.796,0.08,2.343,promoter,maquininha,0.69,0.76,,0.8,0.9,0.7,0.9,0.8,0.9,0.8,0.9
Sarah Batista,5,18/06/2024,ótimo,1.0,0.9,0,0.3612,1.0,0.0,0.0,1.402,promoter,outros,0.87,0.96,,0.8,0.9,0.8,1.0,0.8,1.0,1.0,0.9
Carlianna Colins,5,18/06/2024,pôr enquanto tô gostando muito se não me descipicionar vou usar um tempo parabéns para o app eu recomendo,0.8,0.9,0,0.5574,0.264,0.579,0.157,2.278,promoter,outros,0.75,0.79,,0.8,0.9,0.7,1.0,0.9,1.0,0.7,0.8
Amarildo Gomes Soares Gomes,4,18/06/2024,"Cada vez melhor,, falta liberar cartão de crédito",0.6,0.8,0,0.0772,0.239,0.55,0.211,2.165,promoter,cartao credito,0.5,0.55,,0.6,0.8,-0.4,0.7,0.7,0.8,0.5,0.8
Renato Martins,2,18/06/2024,"Não estou conseguindo acessar meu app, sempre aparece uma mensagem pedido pra mudar a rede móvel ou wi-fi mas não adianta!!",-0.6,0.8,0,-0.6467,0.0,0.73,0.27,1.573,detractor,acesso,-0.61,-0.6,,0.7,0.9,-0.5,0.8,-0.8,1.0,-0.8,0.7
Paula Bittencourt Veterinária Exóticos,1,18/06/2024,Trava demais. Migrando minha conta..,-0.6,0.7,0,0.0,0.0,1.0,0.0,2.113,detractor,conta,-0.57,-0.54,,0.7,0.6,-0.5,0.8,-0.8,0.6,-0.6,0.8
EDM - RECURSO,5,18/06/2024,"Sou ton mais de anos, amo o app, recomendo muito, conta maravilhosa.",0.8,0.9,0,0.7506,0.416,0.584,0.0,2.01,promoter,conta,0.79,0.8,,0.9,1.0,0.8,1.0,0.8,1.0,0.8,0.9
Kátia Britto,1,18/06/2024,Aplicativo Burocrático,-0.6,0.7,0,0.0,0.0,1.0,0.0,2.026,detractor,outros,-0.57,-0.54,,0.5,0.8,,,0.1,0.5,-0.3,0.7
Reginaldo De Sousa,4,18/06/2024,"Poderia depositar o dinheiro na carteira mais rápido, fica um tempão em processamento, mas no mais tá tudo bem!",0.3,0.7,0,0.5175,0.213,0.787,0.0,2.183,promoter,lentidao,0.34,0.31,,0.1,0.8,0.1,0.8,0.3,0.8,0.5,0.8
Eduardo,2,18/06/2024,"Uso e tiro o dinheiro rapido no primeiro dia útil, sem problemas quanto a isso, mas se precisar resolver algo pelo chat vai demorar viu, porque até agora as conversas que tentei foram encerradas sem ao menos chegar o retorno do atendente. E meu saldo está indisponível.",0.3,0.7,0,0.3716,0.122,0.834,0.044,1.612,detractor,atendimento,0.31,0.3,,0.2,0.9,-0.5,0.8,0.2,0.7,-0.5,0.8
Rafael Sawuray,5,18/06/2024,"Suporte rápido, taxas boas, app completo e fácil de usar",0.8,0.9,0,0.5719,0.402,0.598,0.0,2.08,promoter,taxas,0.75,0.79,,0.8,0.9,0.7,1.0,0.7,0.9,0.8,0.9
Eduardo Machado,1,18/06/2024,Muuuuiiiito ruim😡 Só tem opção de cadastrar chave Pix aleatória 🤮,-0.8,0.9,0,-0.5574,0.0,0.714,0.286,2.191,detractor,pix,-0.75,-0.79,,-0.8,0.9,-0.9,1.0,-1.0,0.8,-0.8,0.7
Aydne Franciscon,1,18/06/2024,Não tem um fale conosco.... Preciso falar com atendimento ao cliente não consigo Não quero chat! Quero um atendente humano,-0.8,0.7,0,-0.7088,0.0,0.712,0.288,2.085,detractor,atendimento,-0.78,-0.8,,0.9,0.8,-0.7,0.9,0.2,0.5,-0.7,0.8
Alexsandro da Cunha Porfirio,5,18/06/2024,Estou gostando até agora não estou tendo nem um problema com a minha conta espero que eu não me engane,0.7,0.8,0,-0.7269,0.0,0.693,0.307,2.119,promoter,conta,0.41,0.66,,0.4,0.8,0.7,1.0,0.7,0.9,0.4,0.7
JP MOTOS,5,18/06/2024,ótima,1.0,0.9,0,0.0,0.0,1.0,0.0,2.111,promoter,outros,0.95,0.9,,0.8,0.9,0.8,1.0,0.8,1.0,0.8,0.9
Renata Rianny Huguinim Sena,5,17/06/2024,bota pra girar no modo Stone! top!,0.8,0.7,0,0.0,0.0,1.0,0.0,2.058,promoter,outros,0.76,0.72,,0.5,0.6,0.6,1.0,0.9,1.0,0.8,0.9
Lucas gamer Pernambuco Victor,1,17/06/2024,"Não discriminar as vendas feitas separadas e quando foi descontado, para min não e um aplicativo transparente.",-0.6,0.8,0,-0.5859,0.066,0.604,0.33,1.962,detractor,outros,-0.6,-0.6,,0.4,0.8,-0.6,0.8,-0.8,0.7,-0.8,0.7
LD Oficial,2,17/06/2024,Tô tendo muitos problemas com o app esses últimos dias. Uma lentidão horrível e muitas das vezes só fica carregando as informações e não mostra nada.,-0.7,0.8,0,-0.836,0.0,0.692,0.308,2.323,detractor,lentidao,-0.73,-0.7,,0.7,0.9,-0.8,1.0,-0.8,0.7,-0.7,0.8
Romario Rego,5,17/06/2024,excelente,1.0,0.9,0,0.6249,1.0,0.0,0.0,2.034,promoter,outros,0.92,0.99,,0.8,1.0,0.8,1.0,1.0,1.0,1.0,0.9
marcos antonio Curtis,1,17/06/2024,Boa tarde troquei de celular o app tá impossível de usar tá muito lento.ja desinstalei forcei parada do app.e nada precisava de uma atenção por favor.,-0.6,0.8,0,0.5267,0.192,0.728,0.079,2.225,detractor,lentidao,-0.37,-0.55,,0.5,0.9,0.1,0.8,-0.8,0.7,-0.5,0.8
Fernando M Oliveira,1,17/06/2024,"O Serviço funciona bem, mas não fique sem usar a máquina pq a encheção de saco é grande Devolvi a maquininha pq não aguentava mais ligação e msg pedindo pra devolver",-0.3,0.7,0,-0.0129,0.173,0.653,0.174,2.281,detractor,maquininha,-0.24,-0.27,,0.3,0.7,0.3,0.7,0.2,0.8,0.3,0.7
Rosana Gomes,5,17/06/2024,muito bom,0.8,0.9,0,0.4215,0.737,0.263,0.0,2.31,promoter,outros,0.72,0.78,,0.8,0.9,0.7,1.0,0.8,1.0,0.8,0.9
Heber Prudencio,3,17/06/2024,"Queria entender o porquê até agora não fizeram um jeito de ficar salvo os dados para o pix. Toda vez temos que ficar digitando os dados para fazer um pix que fazemos com frequência. Sem contar que o app está lento, pesado.",-0.6,0.8,0,-0.7351,0.0,0.81,0.19,2.16,detractor,pix,-0.63,-0.6,,0.5,0.9,-0.5,0.8,-0.8,0.6,-0.6,0.8
Gilberlim Daniel Marquese,5,17/06/2024,A Melhor do Momento.,0.8,0.9,0,0.4404,0.592,0.408,0.0,2.054,promoter,outros,0.73,0.78,,0.8,0.9,0.8,1.0,0.8,1.0,0.8,0.9
Rapunzel Oliveira,5,17/06/2024,muito bom,0.8,0.9,0,0.4215,0.737,0.263,0.0,2.227,promoter,outros,0.72,0.78,,0.8,1.0,0.8,1.0,0.8,1.0,0.8,0.9
Noel Caldas,5,17/06/2024,Nota mil pra ton maquininha muito boa taxa pagamentos atendimento,0.8,0.9,0,0.4404,0.244,0.756,0.0,2.455,promoter,maquininha,0.73,0.78,,0.2,0.5,0.7,1.0,0.8,0.9,0.8,0.9
Jaine Martins Squarizi,4,17/06/2024,"O aplicativo em si é bom, só precisa ser mais rápido para abrir , e também ter a biometria, igual o do Stone...",0.6,0.8,0,0.4588,0.228,0.693,0.079,2.378,promoter,lentidao,0.57,0.59,,0.5,0.8,0.1,0.7,0.7,0.9,0.5,0.8
Allyson sillva,2,17/06/2024,"O aplicativo está horrível Cheio de bugs., Travando muito, leva muito tempo para se efetuar uma venda , E entrar no aplicativo.",-0.8,0.9,0,-0.6486,0.0,0.762,0.238,2.116,unknown,unknown,-0.77,-0.79,,0.8,0.9,-0.8,0.9,-0.8,1.0,-0.8,0.7
Lucélia Santos,1,17/06/2024,Da muito erro,-0.7,0.8,0,-0.3818,0.0,0.435,0.565,2.206,detractor,outros,-0.64,-0.68,,-0.8,0.7,0.0,0.8,-1.0,0.5,-0.7,0.8
Leila Rodrigues Monteiro,5,17/06/2024,"Já tenho a dois anos, e não tive problemas.",0.8,0.9,0,-0.6369,0.0,0.49,0.51,2.127,promoter,outros,0.51,0.75,,0.1,0.8,0.5,1.0,0.8,0.9,0.5,0.8
Alexandre ricardo Tenorio,5,17/06/2024,"Taxa aumentou quando baixar voltou a usar ,mais o aplicativo é muito bom .",0.6,0.7,0,0.5994,0.38,0.62,0.0,2.072,promoter,taxas,0.6,0.6,,0.7,0.9,0.4,0.8,0.6,0.8,0.7,0.8
Joselito Dantas,1,17/06/2024,"Muito ruim o APP, fica apresentando erros, não consigo mais entrar nem redefinir a senha, sorte que eu não tinha realizado nem uma venda, apenas um teste. O aplicativo aparentava ser bom, mas não é, agora pense você fazendo uma venda em valor alto e não conseguir mais ter acesso. Deus me livre!",-0.8,0.9,0,0.501,0.248,0.554,0.198,2.382,detractor,acesso,-0.54,-0.74,,-1.0,0.9,-0.8,1.0,-0.7,0.8,-0.7,0.8
marilete mariua,5,17/06/2024,estou fazendo indicacao pois gostei dela só demorou um pouco pra cair o dinheiro,0.6,0.8,0,0.4215,0.189,0.811,0.0,2.211,promoter,outros,0.56,0.59,,0.6,0.9,0.5,1.0,0.2,0.8,0.6,0.8
Moises Lima,5,17/06/2024,Ótimo,1.0,1.0,0,0.3612,1.0,0.0,0.0,2.025,promoter,outros,0.87,0.96,,0.8,0.9,0.7,1.0,0.6,1.0,1.0,0.9
Tiago Pessoa da Cruz,3,17/06/2024,"Falta opção básica de catálogo de produtos e de eventos na máquina, não é um serviço completo",-0.7,0.8,0,-0.5423,0.0,0.743,0.257,1.622,detractor,maquininha,-0.67,-0.69,,0.7,0.8,-0.6,0.8,-0.6,0.7,-0.5,0.8
glaucia silva,5,17/06/2024,ótimo,1.0,0.9,0,0.3612,1.0,0.0,0.0,2.03,promoter,outros,0.87,0.96,,0.8,0.9,0.7,1.0,1.0,1.0,0.8,0.9
Dimitro Matos,1,17/06/2024,"Comprei a vista, inauguração de minha loja foi hj dia 16/06/2024. Abrir a caixa e coloquei para vender, vamos lá. Perdi venda , pós a máquina veio sem pegar wi-fi, sem configurar, sem pegar botão de menu, a tampa do chip em baixo não fecha, a tinta fraca,como se já foi usada . Resumindo perdi uns 800 de venda hj.",-0.7,0.9,0,-0.5423,0.0,0.899,0.101,2.777,detractor,maquininha,-0.67,-0.69,,-0.7,0.8,-0.7,0.9,-0.7,0.6,-0.6,0.7
Marciele Moreira,5,16/06/2024,muito bom,0.8,0.9,0,0.4215,0.737,0.263,0.0,1.974,promoter,outros,0.72,0.78,,0.8,0.9,0.8,1.0,1.0,1.0,0.8,0.9
Josuel Silva,1,16/06/2024,"Tive problema com pagamento, e reteram meu dinheiro e bloquearam minha conta. Até hoje não me dão nenhuma resposta . No chat informa 120 dias só que faz mais de 10 meses e nada a ser resolvido isso ocorreu ano passado vai fazer 1 ano já. Vou procurar órgão publico pois tenho tudo salvo com chat",-0.8,0.9,0,-0.4939,0.039,0.846,0.116,2.196,detractor,conta,-0.74,-0.78,,-0.8,0.9,,,-0.8,0.7,-0.8,0.7
Carlos Daniel Pinheiro barros,1,16/06/2024,"Péssimo!,tentei criar a conta pro meu filho,que esta investido pra ganhar dinheiro com 14 anos,e o aplicativo diz que não pode ser adolencte ou criança!",-0.8,0.9,0,0.5837,0.212,0.71,0.078,2.601,detractor,conta,-0.52,-0.74,,-0.7,0.9,-0.9,1.0,-0.8,0.6,-0.6,0.8
